522533080.jpg, asian, 0.014108820436954972, indian, 0.07046664670097212, black, 0.0004682853893332788, white, 81.41175397704565, middle eastern, 13.088015501976937, dominant race, white, 
506762424.jpg, asian, 0.5806272849440575, indian, 0.09948126971721649, black, 0.006723986007273197, white, 84.11133885383606, middle eastern, 3.8752328604459763, dominant race, white, 
36802696.jpg, asian, 0.037130319863874904, indian, 0.019679052356592706, black, 0.0004854140859716586, white, 90.14497936636087, middle eastern, 4.450011891127342, dominant race, white, 
555079009.jpg, asian, 31.54090642929077, indian, 5.524194985628128, black, 1.8047673627734184, white, 27.9589980840683, middle eastern, 10.218601673841476, dominant race, asian, 
501515140.jpg, asian, 97.01457619667053, indian, 6.558939169565292e-07, black, 2.734062976017526e-07, white, 2.921515516936779, middle eastern, 0.00047225803427863866, dominant race, asian, 
521128566.jpg, asian, 1.5445895519838435e-05, indian, 0.0003970861580029333, black, 1.7611568768862942e-06, white, 99.07105576144984, middle eastern, 0.6520664939056046, dominant race, white, 
525440999.jpg, asian, 1.5190682045584936e-08, indian, 1.4972533790569287e-05, black, 99.99998807907104, white, 2.8793597551830113e-12, middle eastern, 2.166136837771209e-13, dominant race, black, 
526457592.jpg, asian, 24.581246078014374, indian, 10.023488104343414, black, 21.437762677669525, white, 19.179686903953552, middle eastern, 6.3459813594818115, dominant race, asian, 
561147204.jpg, asian, 7.958585023880005, indian, 13.168880343437195, black, 4.053220897912979, white, 13.241653144359589, middle eastern, 9.106522798538208, dominant race, latino hispanic, 
201997.jpg, asian, 34.84911620616913, indian, 9.064173698425293, black, 34.891217947006226, white, 3.7327684462070465, middle eastern, 3.371048718690872, dominant race, black, 
529338025.jpg, asian, 22.463776473548833, indian, 0.793651489925207, black, 0.6886934971876744, white, 59.49143058163755, middle eastern, 11.045782441403574, dominant race, white, 
559750351.jpg, asian, 1.337883439397414e-07, indian, 5.047335628312908e-08, black, 2.7839310208762164e-10, white, 99.98946785864042, middle eastern, 0.004036742634118096, dominant race, white, 
36807849.jpg, asian, 0.015036280092317611, indian, 0.007133741019060835, black, 0.0002748475935732131, white, 96.60046696662903, middle eastern, 0.8545550517737865, dominant race, white, 
532304214.jpg, asian, 95.66364288330078, indian, 0.7512857206165791, black, 0.024518001009710133, white, 0.6339210085570812, middle eastern, 0.008407568384427577, dominant race, asian, 
557110691.jpg, asian, 1.191894058138132, indian, 2.497461996972561, black, 0.16391247045248747, white, 51.60517692565918, middle eastern, 30.75861632823944, dominant race, white, 
567745464.jpg, asian, 3.8947647896268838, indian, 0.1142986303336102, black, 0.1276064158108184, white, 92.63727621062256, middle eastern, 2.321462099043256, dominant race, white, 
541566389.jpg, asian, 0.0005500222287503282, indian, 0.008419883444553744, black, 7.114168025722498e-05, white, 93.87266003326535, middle eastern, 5.175946216341628, dominant race, white, 
530736021.jpg, asian, 18.56662294665712, indian, 3.2637706109148628, black, 1.0920056792799042, white, 50.82763140366264, middle eastern, 15.856129876144522, dominant race, white, 
61004173.jpg, asian, 0.003703948901133108, indian, 0.03062974793893074, black, 0.0002034059904516016, white, 87.19481673178872, middle eastern, 8.312759794325805, dominant race, white, 
6225966.jpg, asian, 2.8457101434469223, indian, 6.367383897304535, black, 1.347897294908762, white, 30.933186411857605, middle eastern, 17.827555537223816, dominant race, latino hispanic, 
510688341.jpg, asian, 1.097907750183806, indian, 0.6976087527786942, black, 0.03751645495747506, white, 67.73651049950782, middle eastern, 11.796488570957695, dominant race, white, 
2705716.jpg, asian, 0.36855635698884726, indian, 7.488621771335602, black, 1.4138809405267239, white, 36.1462265253067, middle eastern, 46.77935242652893, dominant race, middle eastern, 
311145.jpg, asian, 0.021936960115161823, indian, 0.14299170039320583, black, 0.0012999913720773573, white, 81.60801749133856, middle eastern, 10.221851143616302, dominant race, white, 
4400897.jpg, asian, 45.58888375759125, indian, 0.860141683369875, black, 0.26372771244496107, white, 39.70229923725128, middle eastern, 2.2628186270594597, dominant race, asian, 
50503931.jpg, asian, 0.0009946025150971225, indian, 2.131554742572592e-06, black, 3.156220383822665e-08, white, 99.97870325788298, middle eastern, 0.004859958641649882, dominant race, white, 
715008.jpg, asian, 0.38669100031256676, indian, 0.2504977397620678, black, 0.08512383210472763, white, 77.57243514060974, middle eastern, 7.0424869656562805, dominant race, white, 
3707855.jpg, asian, 29.535767436027527, indian, 0.05809352151118219, black, 0.03028082719538361, white, 60.48394441604614, middle eastern, 2.073623798787594, dominant race, white, 
